demand,supply,time,traffic,weather,surge
263,97,evening,low,rainy,1.97
199,153,night,high,storm,2.24
88,34,afternoon,low,storm,1.87
179,150,evening,high,clear,1.61
114,136,afternoon,high,snow,1.52
130,58,morning,medium,rainy,1.79
127,193,evening,low,snow,1.41
93,125,night,high,rainy,1.79
32,145,morning,high,snow,1.67
277,140,afternoon,high,rainy,1.75
95,36,night,high,storm,2.5
226,117,afternoon,medium,snow,1.79
180,125,afternoon,low,snow,1.62
292,86,evening,high,rainy,2.14
178,185,evening,high,rainy,1.7
121,138,evening,high,clear,1.45
275,159,night,high,storm,2.28
246,13,morning,low,snow,1.83
58,61,evening,low,storm,1.54
104,25,evening,low,clear,1.67
261,36,afternoon,high,snow,2.15
177,187,morning,medium,snow,1.38
190,151,morning,low,storm,1.54
256,67,evening,high,rainy,2.26
129,85,night,low,clear,1.44
118,198,morning,medium,clear,1.0
165,43,afternoon,high,storm,2.1
268,191,afternoon,low,rainy,1.49
56,170,evening,medium,storm,1.51
192,144,afternoon,low,clear,1.26
111,116,night,low,storm,1.54
139,179,evening,medium,storm,1.56
273,153,morning,low,storm,1.59
154,20,evening,medium,clear,1.78
174,16,evening,high,snow,2.4
181,176,afternoon,medium,clear,1.39
115,147,morning,high,clear,1.14
139,185,night,low,rainy,1.41
252,175,morning,high,rainy,1.6
199,19,morning,low,clear,1.44
158,152,morning,high,rainy,1.78
238,109,night,high,snow,2.49
38,109,morning,high,clear,1.23
62,200,morning,high,clear,1.17
287,37,evening,high,storm,2.42
174,122,night,medium,clear,1.59
142,44,night,high,storm,2.59
103,86,evening,low,rainy,1.52
32,156,night,high,clear,1.46
206,64,night,high,rainy,2.23
143,167,evening,low,clear,1.04
57,150,night,high,clear,1.46
64,74,morning,low,snow,1.39
212,42,afternoon,low,storm,1.92
129,91,night,medium,storm,2.02
186,187,afternoon,high,storm,1.66
249,53,morning,medium,rainy,1.86
253,80,evening,low,storm,2.18
266,124,evening,medium,snow,2.21
119,175,morning,medium,rainy,1.28
130,77,morning,high,clear,1.58
289,171,morning,high,snow,1.95
138,19,evening,high,snow,2.43
106,103,night,low,storm,1.83
286,140,morning,medium,storm,2.0
152,167,afternoon,high,rainy,1.39
121,154,afternoon,high,snow,1.69
50,66,night,low,clear,1.15
149,20,afternoon,high,storm,2.18
262,21,morning,high,storm,2.12
296,172,evening,high,storm,2.12
119,106,night,medium,clear,1.6
222,67,night,medium,storm,2.3
276,164,morning,high,rainy,1.69
147,29,evening,low,rainy,1.84
215,164,morning,high,rainy,1.68
199,194,morning,medium,snow,1.7
112,175,night,low,rainy,1.31
112,44,morning,high,rainy,1.91
162,56,night,high,clear,2.18
175,31,afternoon,medium,snow,2.07
117,66,night,high,rainy,2.06
123,169,evening,low,storm,1.58
65,68,night,medium,rainy,1.42
133,143,night,low,clear,1.14
49,146,morning,low,snow,1.33
30,183,night,high,snow,1.87
52,188,night,low,snow,1.66
225,99,morning,medium,rainy,1.75
149,31,evening,high,snow,2.35
32,191,morning,high,clear,1.2
222,177,afternoon,high,storm,1.88
84,49,night,high,storm,2.15
246,154,evening,high,storm,2.2
233,62,night,high,snow,2.44
277,74,evening,high,storm,2.45
233,198,afternoon,high,clear,1.55
258,189,afternoon,low,rainy,1.4
203,150,morning,low,snow,1.69
32,33,afternoon,medium,snow,1.32
164,66,evening,low,clear,1.74
235,167,evening,high,clear,1.79
119,173,night,medium,clear,1.24
295,83,afternoon,low,rainy,1.72
48,102,afternoon,high,clear,1.3
74,80,night,medium,snow,1.68
132,142,morning,high,clear,1.28
175,195,evening,medium,storm,1.55
129,126,night,high,clear,1.75
238,139,morning,high,clear,1.5
204,39,evening,high,storm,2.44
223,154,night,low,storm,1.99
264,184,night,high,clear,1.8
162,27,night,high,rainy,2.34
147,90,night,medium,clear,1.64
164,73,evening,low,snow,2.13
205,29,afternoon,medium,storm,1.97
167,56,afternoon,medium,rainy,1.75
153,77,afternoon,low,rainy,1.47
212,49,morning,low,clear,1.54
282,167,morning,high,clear,1.57
220,168,evening,medium,storm,1.9
291,81,night,low,rainy,1.91
246,132,morning,high,storm,1.88
119,127,morning,high,snow,1.56
34,13,afternoon,medium,clear,1.57
162,57,evening,low,storm,2.09
205,103,afternoon,medium,snow,1.64
220,103,night,medium,snow,2.24
97,157,afternoon,low,storm,1.36
251,107,afternoon,low,rainy,1.69
34,55,night,medium,rainy,1.6
294,146,evening,medium,storm,1.85
54,111,morning,high,rainy,1.31
160,131,morning,medium,storm,1.65
214,153,evening,medium,clear,1.48
209,183,afternoon,high,rainy,1.8
175,100,evening,high,snow,2.15
258,30,night,high,storm,2.49
104,52,evening,medium,snow,1.97
66,30,afternoon,medium,rainy,1.76
179,191,evening,high,snow,1.75
257,102,night,medium,rainy,2.04
41,42,afternoon,high,storm,1.69
70,63,afternoon,medium,clear,1.22
272,150,morning,low,snow,1.6
72,36,evening,high,rainy,1.82
229,89,afternoon,low,storm,1.89
94,43,afternoon,low,clear,1.53
196,131,night,high,storm,2.21
99,188,afternoon,high,snow,1.63
252,144,evening,medium,snow,1.91
75,123,evening,medium,snow,1.55
185,12,morning,high,rainy,1.97
270,146,morning,high,snow,1.99
274,86,morning,medium,storm,2.02
33,150,evening,low,snow,1.58
253,111,afternoon,low,snow,1.97
142,77,morning,medium,rainy,1.5
169,82,evening,medium,rainy,2.07
123,44,evening,low,snow,2.12
169,189,night,low,storm,1.5
55,146,morning,low,clear,1.0
94,193,night,high,clear,1.45
107,13,night,low,storm,2.18
285,105,night,high,clear,2.07
104,24,evening,medium,clear,1.81
